B,2019-12-31,,,,BBB1,244,C_000001,C_000001,,,3,GAS 95,0.365,11.6016949153,13.69,4.2372881356,0.7627118644,5,,,,,,,GLL
B,2019-12-31,,,,BBB1,245,C_000001,C_000001,,,2,GAS 90,0.004,10.5847457627,12.49,0.0423728814,0.0076271186,0.05,,,,,,,GLL
B,2019-12-31,,,,BBB1,246,C_000001,C_000001,,,3,GAS 95,7.305,11.6016949153,13.69,8.4745762712,1.5254237288,10,,,,,,,GLL
B,2019-12-31,,,,BBB1,247,C_000001,C_000001,,,3,GAS 95,1.461,11.6016949153,13.69,16.9491525424,3.0508474576,20,,,,,,,GLL
B,2019-12-31,,,,BBB1,248,C_000001,C_000001,,,2,GAS 90,12.01,10.5847457627,12.49,12.7118644068,2.2881355932,15,,,,,,,GLL
B,2019-12-31,,,,BBB1,249,C_000001,C_000001,,,3,GAS 95,1.607,11.6016949153,13.69,18.6440677966,3.3559322034,22,,,,,,,GLL
B,2019-12-31,,,,BBB1,250,C_000001,C_000001,,,3,GAS 95,1.461,11.6016949153,13.69,16.9491525424,3.0508474576,20,,,,,,,GLL
B,2019-12-31,,,,BBB1,251,C_000001,C_000001,,,3,GAS 95,7.305,11.6016949153,13.69,8.4745762712,1.5254237288,10,,,,,,,GLL
B,2019-12-31,,,,BBB1,252,C_000001,C_000001,,,2,GAS 90,0.4,10.5847457627,12.49,4.2372881356,0.7627118644,5,,,,,,,GLL
B,2019-12-31,,,,BBB1,253,C_000001,C_000001,,,2,GAS 90,5.604,10.5847457627,12.49,5.9322033898,1.0677966102,7,,,,,,,GLL
B,2019-12-31,,,,BBB1,254,C_000001,C_000001,,,2,GAS 90,0.801,10.5847457627,12.49,8.4745762712,1.5254237288,10,,,,,,,GLL
B,2019-12-31,,,,BBB1,255,C_000001,C_000001,,,4,GAS 98,3.617,12.7033898305,14.99,45.9491525424,8.2708474576,54.22,,,,,,,GLL
B,2019-12-31,,,,BBB1,256,C_000001,C_000001,,,3,GAS 95,1.826,11.6016949153,13.69,21.186440678,3.813559322,25,,,,,,,GLL
B,2019-12-31,,,,BBB1,257,C_000001,C_000001,,,3,GAS 95,7.305,11.6016949153,13.69,8.4745762712,1.5254237288,10,,,,,,,GLL
B,2019-12-31,,,,BBB1,258,C_000001,C_000001,,,2,GAS 90,0.801,10.5847457627,12.49,8.4745762712,1.5254237288,10,,,,,,,GLL
B,2019-12-31,,,,BBB1,259,C_000001,C_000001,,,2,GAS 90,4.003,10.5847457627,12.49,4.2372881356,0.7627118644,5,,,,,,,GLL
B,2019-12-31,,,,BBB1,260,C_000001,C_000001,,,2,GAS 90,2.402,10.5847457627,12.49,25.4237288136,4.5762711864,30,,,,,,,GLL
B,2019-12-31,,,,BBB1,261,C_000001,C_000001,,,2,GAS 90,9.608,10.5847457627,12.49,10.1694915254,1.8305084746,12,,,,,,,GLL
B,2019-12-31,,,,BBB1,262,C_000001,C_000001,,,2,GAS 90,0.801,10.5847457627,12.49,8.4745762712,1.5254237288,10,,,,,,,GLL
B,2019-12-31,,,,BBB1,263,C_000001,C_000001,,,2,GAS 90,16.013,10.5847457627,12.49,16.9491525424,3.0508474576,20,,,,,,,GLL
B,2019-12-31,,,,BBB1,264,C_000001,C_000001,,,3,GAS 95,0.511,11.6016949153,13.69,5.9322033898,1.0677966102,7,,,,,,,GLL
B,2019-12-31,,,,BBB1,265,C_000001,C_000001,,,2,GAS 90,40.032,10.5847457627,12.49,42.3728813559,7.6271186441,50,,,,,,,GLL
B,2019-12-31,,,,BBB1,266,C_000001,C_000001,,,2,GAS 90,16.013,10.5847457627,12.49,16.9491525424,3.0508474576,20,,,,,,,GLL
B,2019-12-31,,,,BBB1,267,C_000001,C_000001,,,3,GAS 95,1.461,11.6016949153,13.69,16.9491525424,3.0508474576,20,,,,,,,GLL
B,2019-12-31,,,,BBB1,268,C_000001,C_000001,,,3,GAS 95,7.305,11.6016949153,13.69,8.4745762712,1.5254237288,10,,,,,,,GLL
B,2019-12-31,,,,BBB1,269,C_000001,C_000001,,,2,GAS 90,0.801,10.5847457627,12.49,8.4745762712,1.5254237288,10,,,,,,,GLL
B,2019-12-31,,,,BBB1,270,C_000001,C_000001,,,2,GAS 90,0.801,10.5847457627,12.49,8.4745762712,1.5254237288,10,,,,,,,GLL
B,2019-12-31,,,,BBB1,271,C_000001,C_000001,,,2,GAS 90,2.402,10.5847457627,12.49,25.4237288136,4.5762711864,30,,,,,,,GLL
B,2019-12-31,,,,BBB1,272,C_000001,C_000001,,,2,GAS 90,9.608,10.5847457627,12.49,10.1694915254,1.8305084746,12,,,,,,,GLL
B,2019-12-31,,,,BBB1,273,C_000001,C_000001,,,3,GAS 95,1.023,11.6016949153,13.69,11.8644067797,2.1355932203,14,,,,,,,GLL
B,2019-12-31,,,,BBB1,274,C_000001,C_000001,,,3,GAS 95,1.461,11.6016949153,13.69,16.9491525424,3.0508474576,20,,,,,,,GLL
B,2019-12-31,,,,BBB1,275,C_000001,C_000001,,,2,GAS 90,0.801,10.5847457627,12.49,8.4745762712,1.5254237288,10,,,,,,,GLL
B,2019-12-31,,,,BBB1,276,C_000001,C_000001,,,4,GAS 98,20.013,12.7033898305,14.99,25.4237288136,4.5762711864,30,,,,,,,GLL
B,2019-12-31,,,,BBB1,277,C_000001,C_000001,,,2,GAS 90,16.013,10.5847457627,12.49,16.9491525424,3.0508474576,20,,,,,,,GLL
B,2019-12-31,,,,BBB1,278,C_000001,C_000001,,,2,GAS 90,24.019,10.5847457627,12.49,25.4237288136,4.5762711864,30,,,,,,,GLL
B,2019-12-31,,,,BBB1,279,C_000001,C_000001,,,2,GAS 90,0.801,10.5847457627,12.49,8.4745762712,1.5254237288,10,,,,,,,GLL
B,2019-12-31,,,,BBB1,280,C_000001,C_000001,,,3,GAS 95,0.365,11.6016949153,13.69,4.2372881356,0.7627118644,5,,,,,,,GLL
B,2019-12-31,,,,BBB1,281,C_000001,C_000001,,,2,GAS 90,8.006,10.5847457627,12.49,8.4745762712,1.5254237288,10,,,,,,,GLL
B,2019-12-31,,,,BBB1,282,C_000001,C_000001,,,2,GAS 90,0.801,10.5847457627,12.49,8.4745762712,1.5254237288,10,,,,,,,GLL
B,2019-12-31,,,,BBB1,283,C_000001,C_000001,,,2,GAS 90,0.4,10.5847457627,12.49,4.2372881356,0.7627118644,5,,,,,,,GLL
B,2019-12-31,,,,BBB1,284,C_000001,C_000001,,,3,GAS 95,1.461,11.6016949153,13.69,16.9491525424,3.0508474576,20,,,,,,,GLL
B,2019-12-31,,,,BBB1,285,C_000001,C_000001,,,4,GAS 98,1.001,12.7033898305,14.99,12.7118644068,2.2881355932,15,,,,,,,GLL
B,2019-12-31,,,,BBB1,286,C_000001,C_000001,,,2,GAS 90,2.002,10.5847457627,12.49,21.186440678,3.813559322,25,,,,,,,GLL
B,2019-12-31,,,,BBB1,287,C_000001,C_000001,,,2,GAS 90,0.24,10.5847457627,12.49,2.5423728814,0.4576271186,3,,,,,,,GLL
B,2019-12-31,,,,BBB1,288,C_000001,C_000001,,,3,GAS 95,1.461,11.6016949153,13.69,16.9491525424,3.0508474576,20,,,,,,,GLL
B,2019-12-31,,,,BBB1,289,C_000001,C_000001,,,2,GAS 90,3.203,10.5847457627,12.49,3.3898305085,0.6101694915,4,,,,,,,GLL
B,2019-12-31,,,,BBB1,290,C_000001,C_000001,,,2,GAS 90,6.405,10.5847457627,12.49,6.7796610169,1.2203389831,8,,,,,,,GLL
B,2019-12-31,,,,BBB1,291,C_000001,C_000001,,,2,GAS 90,9.608,10.5847457627,12.49,10.1694915254,1.8305084746,12,,,,,,,GLL
B,2019-12-31,,,,BBB1,292,C_000001,C_000001,,,2,GAS 90,0.801,10.5847457627,12.49,8.4745762712,1.5254237288,10,,,,,,,GLL
B,2019-12-31,,,,BBB1,293,C_000001,C_000001,,,2,GAS 90,0.4,10.5847457627,12.49,4.2372881356,0.7627118644,5,,,,,,,GLL
B,2019-12-31,,,,BBB1,294,C_000001,C_000001,,,3,GAS 95,0.511,11.6016949153,13.69,5.9322033898,1.0677966102,7,,,,,,,GLL
B,2019-12-31,,,,BBB1,295,C_000001,C_000001,,,3,GAS 95,7.305,11.6016949153,13.69,8.4745762712,1.5254237288,10,,,,,,,GLL
B,2019-12-31,,,,BBB1,296,C_000001,C_000001,,,2,GAS 90,4.003,10.5847457627,12.49,4.2372881356,0.7627118644,5,,,,,,,GLL
B,2019-12-31,,,,BBB1,297,C_000001,C_000001,,,3,GAS 95,1.461,11.6016949153,13.69,16.9491525424,3.0508474576,20,,,,,,,GLL
B,2019-12-31,,,,BBB1,298,C_000001,C_000001,,,2,GAS 90,8.006,10.5847457627,12.49,8.4745762712,1.5254237288,10,,,,,,,GLL
B,2019-12-31,,,,BBB1,299,C_000001,C_000001,,,3,GAS 95,3.652,11.6016949153,13.69,42.3728813559,7.6271186441,50,,,,,,,GLL
B,2019-12-31,,,,BBB1,300,C_000001,C_000001,,,2,GAS 90,4.003,10.5847457627,12.49,42.3728813559,7.6271186441,50,,,,,,,GLL
B,2019-12-31,,,,BBB1,301,C_000001,C_000001,,,3,GAS 95,1.023,11.6016949153,13.69,11.8644067797,2.1355932203,14,,,,,,,GLL
B,2019-12-31,,,,BBB1,302,C_000001,C_000001,,,2,GAS 90,4.003,10.5847457627,12.49,4.2372881356,0.7627118644,5,,,,,,,GLL
B,2019-12-31,,,,BBB1,303,C_000001,C_000001,,,4,GAS 98,1.334,12.7033898305,14.99,16.9491525424,3.0508474576,20,,,,,,,GLL
B,2019-12-31,,,,BBB1,304,C_000001,C_000001,,,2,GAS 90,8.006,10.5847457627,12.49,8.4745762712,1.5254237288,10,,,,,,,GLL
